id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_68,Wall T75 Rockwool Color steel sheet/Color steel sheet,,,P10068,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_69,Wall T75 Rockwool Color steel sheet/Galvanized steel sheet,,,P10069,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_70,Wall T75 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10070,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_71,Wall T75 Rockwool Stainless steel 304/Stainless steel 304,,,P10071,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_72,Wall T75 Rockwool Color steel sheet/Stainless steel 304,,,P10072,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_73,Wall T75 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10073,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_74,Wall T100 Rockwool Color steel sheet/Color steel sheet,,,P10074,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_75,Wall T100 Rockwool Color steel sheet/Galvanized steel sheet,,,P10075,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_76,Wall T100 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10076,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_77,Wall T100 Rockwool Stainless steel 304/Stainless steel 304,,,P10077,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_78,Wall T100 Rockwool Color steel sheet/Stainless steel 304,,,P10078,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_79,Wall T100 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10079,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_80,Wall T125 Rockwool Color steel sheet/Color steel sheet,,,P10080,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_81,Wall T125 Rockwool Color steel sheet/Galvanized steel sheet,,,P10081,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
