id,name_notused,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_143,บริษัท อินวินซิเบิ้ล จำกัด,"Invincible Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,347/10 หมู่ 6 ถ.พหลโยธิน,แขวง สายไหม เขต สายไหม,10220,กรุงเทพมหานคร,Thailand,0-2533-8501-3,,0-2531-9855,,,,,Chairat S.
res_partner_cust_144,บริษัท อินเพ็ท จำกัด,"Inpet Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,700/635 หมู่ 3,แขวง บ้านเก่า เขต พานทอง,20160,ชลบุรี,Thailand,0-3844-7006-8,,0-3844-7009,,,,,Chatchai T.
res_partner_cust_145,บริษัท อินซูล คูลลิ่ง เซ็นเตอร์ จำกัด,"Insul Cooling Center Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,130/6 หมู่ 3,แขวง รังสิต เขต ธัญบุรี,12150,ปทุมธานี,Thailand,0-2904-4395-6,"08-1701-2110, 08-9815-9494, 08-1859-5840",0-2904-4397,,,,,Chatchai T.
res_partner_cust_146,บริษัท เจ.อี.พี. เอ็นเตอร์ไพรส์ จำกัด,"J.E.P. Enterprise Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,235/8 ซอย สุขุมวิท 21 (อโศก) ถ.สุขุมวิท,แขวง คลองเตยเหนือ เขต วัฒนา,10110,กรุงเทพมหานคร,Thailand,"0-2580-4479, 0-2261-6531",,"0-2258-3862, 0-2261-6530",,,,,Weeranuwat S.
res_partner_cust_147,บริษัท เจดับบิว พาร์ท แอนด์ อีควิปเม้นท์ จำกัด,"JW Parts and Equipment Co.,Ltd.",,PDC. 30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,733/405 หมู่ 8,แขวง คูคต เขต ลำลูกกา,12130,ปทุมธานี,Thailand,0-2998-9389,,0-2998-9388,,,,,Weeranuwat S.
res_partner_cust_148,ห้างหุ้นส่วนจำกัด ห้างขายยา กรุงเทพฯ ฟามาซี,"Krungdheb Pharmacy Ltd., Part.",,Cash,1000000,TRUE,TRUE,FALSE,,Default,FALSE,783 ถ.เจริญนคร,แขวง บางปะกอก เขต ราษฎ์บูรณะ,10140,กรุงเทพมหานคร,Thailand,"0-2468-1412, 0-2468-1194",,0-2476-1366,,,,,Visak T.
res_partner_cust_149,บริษัท เค.ท็อท (1993) จำกัด,บริษัท เค.ท็อท (1993) จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,458/2 หมู่ 2,แขวง ช้างเผือก เขต เมือง,50300,เชียงใหม่,Thailand,0-5321-3925,,0-5321-3925,,,,,
res_partner_cust_150,บริษัท คิง เพาเวอร์ สุวรรณภูมิ จำกัด,"King Power Suvarnabhumi Airport Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,999 หมู่ 1 สนามบินสุวรรณภูมิ อาคารคอนคอร์ส เอ ชั้น 2,แขวง หนองปรือ เขต บางพลี,10540,สมุทรปราการ,Thailand,,,,,,,,Chairat S.
res_partner_cust_151,บริษัท คีพ คูล พาแนล จำกัด,"Keep Cool Panel Co.,Ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,72 ซอย ลาดพร้าว 126 ถ.ลาดพร้าว,แขวง ลาดพร้าว เขต วังทองหลาง,10310,กรุงเทพมหานคร,Thailand,0-2934-1188,,0-2934-1188,,,,,Surasak S.
res_partner_cust_152,บริษัท เคทูวิน จำกัด,"K2Win Co.,Ltd.",,30 Days,100000,TRUE,TRUE,FALSE,,Default,FALSE,102/3 หมู่ 3 ถ.ปทุมธานี-สามโคก,แขวง กระแชง เขต สามโคก,12160,ปทุมธานี,Thailand,0-2581-7220-1,,0-2581-7221,,,,,Surasak S.
res_partner_cust_153,บริษัท คันเนจึ (ประเทศไทย) จำกัด,"Kannetsu (Thailand) Co.,Ltd.",,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,84/5 หมู่ 9 ถ.บางนา-ตราด กม.39,แขวง บางวัว เขต บางปะกง,24180,ฉะเชิงเทรา,Thailand,0-3898-9155-159,,0-3898-9160,,,,,Chairat S.
res_partner_cust_154,ห้างหุ้นส่วนจำกัด เค.ดับบลิว.เทรดดิ้ง แอนด์ ซัพพลาย,ห้างหุ้นส่วนจำกัด เค.ดับบลิว.เทรดดิ้ง แอนด์ ซัพพลาย,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,27 ซอย บุญวงศ์,แขวง หาดใหญ่ เขต หาดใหญ่,90110,สงขลา,Thailand,0-7425-3653,,0-7425-2325,,,,,Chatchai T.
