"id","loc_rack","loc_row","loc_case"
"product.product_part_207","01-18",,"โกดังอะลูมิเนียม"
"product.product_part_208","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_209","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_210",,,"โกดังอะลูมิเนียม"
"product.product_part_211","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_212","01-04",,"โกดังอะลูมิเนียม"
"product.product_part_213",,,"โกดังอะลูมิเนียม"
"product.product_part_214","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_215","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_216",,,"โกดังอะลูมิเนียม"
"product.product_part_217","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_218",,,"โกดังอะลูมิเนียม"
"product.product_part_219",,,"โกดังอะลูมิเนียม"
"product.product_part_220",,,"โกดังอะลูมิเนียม"
"product.product_part_221",,,"โกดังอะลูมิเนียม"
"product.product_part_222",,,"โกดังอะลูมิเนียม"
"product.product_part_223",,,"โกดังอะลูมิเนียม"
"product.product_part_224","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_225",,,"โกดังอะลูมิเนียม"
"product.product_part_226",,,"โกดังอะลูมิเนียม"
"product.product_part_227","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_228","01-17",,"โกดังอะลูมิเนียม"
"product.product_part_229",,,"โกดังอะลูมิเนียม"
"product.product_part_230","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_231","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_232",,,"โกดังอะลูมิเนียม"
"product.product_part_233",,,"โกดังอะลูมิเนียม"
"product.product_part_234",,,"โกดังอะลูมิเนียม"
"product.product_part_235",,,"โกดังอะลูมิเนียม"
"product.product_part_236","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_237","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_238",,,"โกดังอะลูมิเนียม"
"product.product_part_239","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_240","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_241",,,"โกดังอะลูมิเนียม"
"product.product_part_242","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_243","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_244",,,"โกดังอะลูมิเนียม"
"product.product_part_245","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_246","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_247",,,"โกดังอะลูมิเนียม"
"product.product_part_248","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_249","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_250","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_251","01-20",,"โกดังอะลูมิเนียม"
