id,name,code,parent_id/id,type,user_type/id,reconcile
coa_sqp_100170,เช็ครับคืน,100170,coa_sqp_1001,Regular,account.data_account_type_asset,FALSE
coa_sqp_100180,บัตรภาษีอากรจากการส่งออก ,100180,coa_sqp_1001,Regular,account.data_account_type_asset,FALSE
coa_sqp_1002,ลูกหนี้การค้าและตั๋วเงินรับ,1002,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100210,ลูกหนี้การค้า-ในประเทศ,100210,coa_sqp_1002,Receivable,account.data_account_type_receivable,TRUE
coa_sqp_100220,ลูกหนี้การค้า-ต่างประเทศ,100220,coa_sqp_1002,Receivable,account.data_account_type_receivable,TRUE
coa_sqp_1003,ลูกหนี้อื่นๆ,1003,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100310,ลูกหนี้อื่นๆ,100310,coa_sqp_1003,Regular,account.data_account_type_asset,FALSE
coa_sqp_100320,ลูกหนี้บริษัทในเครือ,100320,coa_sqp_1003,Regular,account.data_account_type_asset,FALSE
coa_sqp_1004,สำรองหนี้สูญ,1004,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100410,ค่าเผื่อหนี้สงสัยจะสูญ,100410,coa_sqp_1004,Regular,account.data_account_type_asset,FALSE
coa_sqp_1005,สินค้าคงเหลือ,1005,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100510,สินค้าคงเหลือ-วัตถุดิบ,100510,coa_sqp_1005,Regular,account.data_account_type_asset,FALSE
coa_sqp_100520,สินค้าคงเหลือ-สินค้าสำเร็จรูป,100520,coa_sqp_1005,Regular,account.data_account_type_asset,FALSE
coa_sqp_100530,งานระหว่างทำคงเหลือ,100530,coa_sqp_1005,Regular,account.data_account_type_asset,FALSE
coa_sqp_1006,สินทรัพย์หมุนเวียนอื่น ๆ,1006,coa_sqp_101,View,account.data_account_type_view,FALSE
coa_sqp_100610,เงินมัดจำจ่ายล่วงหน้า,100610,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100620,ค่าใช้จ่ายจ่ายล่วงหน้า,100620,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100621,ค่าเบี้ยประกันภัยจ่ายล่วงหน้า,100621,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100622,ค่าธรรมเนียมค้ำประกันจ่ายล่วงหน้า,100622,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100630,เงินจ่ายล่วงหน้าแก่กรรมการและพนักงาน,100630,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100640,ภาษีซื้อ,100640,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100650,ภาษีซื้อยังไม่ถึงกำหนด,100650,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100660,ลูกหนี้-กรมสรรพากร,100660,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100670,ภาษีถูกหัก ณ ที่จ่าย,100670,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100680,สินทรัพย์อื่น ๆ,100680,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100681,ดอกเบี้ยเช่าซื้อ-ส่วนที่ถึงกำหนดชำระใน 1 ปี,100681,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_100690,ค่าเช่าค้างรับ,100690,coa_sqp_1006,Regular,account.data_account_type_asset,FALSE
coa_sqp_102,สินทรัพย์ไม่หมุนเวียน,102,coa_sqp_10,View,account.data_account_type_view,FALSE
coa_sqp_103,ที่ดิน อาคาร และ อุปกรณ์(สุทธิ),103,coa_sqp_102,View,account.data_account_type_view,FALSE
coa_sqp_101110,ที่ดิน,101110,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101111,ส่วนปรับปรุงที่ดิน,101111,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101120,อาคารและสิ่งปลูกสร้าง,101120,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101130,เครื่องใช้สำนักงาน,101130,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
coa_sqp_101131,เครื่องใช้สำนักงานโรงงาน,101131,coa_sqp_103,Regular,account.data_account_type_asset,FALSE
