id,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_supplier_179,บริษัท นิวเทค ซีสเต็มส์ ดีเวล็อปเมนท์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,1/740 หมู่ 17 ,คูคต ลำลูกกา,12130,ปทุมธานี,,0-2532-4800-2,,0-2533-8488,,,,,Chairat S.
res_partner_supplier_180,บริษัท ณัฐธน จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,43 อาคาร พิทักษ์คอร์ทชั้นล่าง ซอย อรรถการประสิทธิ์ สาทรใต้,ทุ่งมหาเมฆ สาทร,10120,กรุงเทพมหานคร,,0-2411-1693,,0-2411-1693,,,,,Surasak S.
res_partner_supplier_181,บริษัท โนวา เมดิซีน จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,20/1 หมู่ 3 เทศบาล 1,บ้านฉาง เมือง,,ปทุมธานี,,,,,,,,,Chairat S.
res_partner_supplier_182,บริษัท เอ็น.ซี.เอส เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,18/7 ซอย ลาดพร้าว 113 ลาดพร้าว,คลองจั่น บางกะปิ,10310,กรุงเทพมหานคร,,0-2704-7051-2,,0-2704-7053,,,,,
res_partner_supplier_183,ห้างหุ้นส่วนจำกัด เอ็น ซี เอช อีควิปเมนท์ แอนด์ เซอร์วิส,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,63 จันทรคามพิทักษ์,สนามจันทร์ เมือง,73000,นครปฐม,,0-2976-6385,,0-2976-7011,,,,,Weeranuwat S.
res_partner_supplier_184,บริษัท เอ็น.เอส.แอล. คอนสตรัคชั่น จำกัด,,60 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1447 ซอย ลาดพร้าว 94 ลาดพร้าว,วังทองหลาง วังทองหลาง,10310,กรุงเทพมหานคร,,"0-2934-7215-6, 0-2559-2680-2",,"0-2934-7215-6, 0-2559-2680-2",,,,,Dusit T.
res_partner_supplier_185,บริษัท พี.เอม.ฟูด จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1 อาคาร พรีเมียร์คอร์ปอเรทปาร์ค ซอย พรีเมียร์ ศรีนครินทร์,หนองบอน ประเวศ,10260,กรุงเทพมหานคร,,0-2301-1794,,0-2748-2080,,,,,Dusit T.
res_partner_supplier_186,บริษัท พี.เอส.ฟู้ดโปรดักส์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,"949, 941/1999 หมู่ 7 ซอย วิทยุการบิน ",ท้ายบ้านใหม่ เมือง,10280,สมุทรปราการ,,"0-2709-1063, 0-2709-1959, 0-2323-2055",,"0-2709-1062, 0-2323-3050",,,,,
res_partner_supplier_187,บริษัท ปาร์คเกอร์ เอ็นจิเนียริ่ง (ไทยแลนด์) จำกัด,,45 Days,,TRUE,TRUE,FALSE,,Default,FALSE,62 อาคาร ธนิยะ ชั้น 5 ห้อง 501 และ 510 สีลม,สุริยวงศ์ บางรัก,10500,กรุงเทพมหานคร,,"0-2238-4704, 0-2236-0120, 0-2236-7330, 0-2236-3096",,0-2236-0122,,,,,Chairat S.
res_partner_supplier_188,บริษัท พี.เอ็น.เอ็นจิเนียริ่ง แอนด์ เทคโนโลยี จำกัด,,15 Days,,TRUE,TRUE,FALSE,,Default,FALSE,105/15-16 หมู่ 7 ,คลองหนึ่ง คลองหลวง,12120,ปทุมธานี,,0-2516-5803-5,,0-2902-8902,,,,,Chatchai T.
res_partner_supplier_189,บริษัท โปร เทคนิคเชี่ยน แอนด์ เอ็นจิเนียริ่ง จำกัด,,Cash,200000,TRUE,TRUE,FALSE,,Default,FALSE,10/196-197 หมู่ 3 ซอย 28 พระราม 2,บางมด จอมทอง,10150,กรุงเทพมหานคร,,0-2877-1167-8,,0-2877-1169,,,,,Weeranuwat S.
res_partner_supplier_190,ห้างหุ้นส่วนจำกัด ปุญญิศา เทคโนโลยี,,Cash,100000,TRUE,TRUE,FALSE,,Default,FALSE,145 หมู่ 6 ,คลองมะเดื่อ กระทุ่มแบน,74110,สมุทรสาคร,,"0-2892-2601, 0-3487-4132",,0-2892-2601,,,,,Chatchai T.
res_partner_supplier_191,บริษัท พาตาร์แลบ (2517) จำกัด,,Cash,20000000,TRUE,TRUE,FALSE,,Default,FALSE,51 หมู่ 3 เลียบคลอง 7 (ธัญบุรี-ลำลูกกา),บึงคำพร้อย ลำลูกกา,,ปทุมธานี,,0-2391-2045,,0-2391-2044,,,,,Chairat S.
res_partner_supplier_192,บริษัท โปรฟู้ด (ไทย) จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,28/88 หมู่ 1 ,โคกขาม เมือง,74000,สมุทรสาคร,,"0-2663-0430, 0-2259-7620-1",,0-2663-0431,,,,,Chairat S.
res_partner_supplier_193,บริษัท แพคโคเมติก จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,296/19 หมู่ 9 ซอย ติวานนท์ 28 ติวานนท์,บางกระสอ เมือง,11000,นนทบุรี,,0-2950-7510-3,,0-2580-3687,,,,,Dusit T.
res_partner_supplier_194,บริษัท เภสัชกรรมศรีประสิทธิ์ จำกัด,,Cash,20000000,TRUE,TRUE,FALSE,,Default,FALSE,619 เจริญรัถ,คลองสาน คลองสาน,10600,กรุงเทพมหานคร,,0-2437-0343-5,,0-2438-8060,,,,,Dusit T.
