id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_coldroom_71,"Double swing door (4 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,108000
product_coldroom_72,"Double swing door (4 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,134400
product_coldroom_73,"Sliding door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,70000
product_coldroom_74,"Sliding door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,85000
product_coldroom_75,"Sliding door (3 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,100000
product_coldroom_76,"Sliding door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,75000
product_coldroom_77,"Sliding door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,90000
product_coldroom_78,"Sliding door (4 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 125 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,120000
product_coldroom_79,Wall panel (T) 150 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2900
product_coldroom_80,Ceiling panel (T) 150 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2900
product_coldroom_81,Floor panel (T) 150 mm. (Color steel sheet/Color steel sheet),,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,7000
product_coldroom_82,Floor Insulation (T) 150 mm.,,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,sqm.,sqm.,Periodical (manual),0,2100
