"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_110","AL PROFILE FOR SLIDING DOOR(AP)","SP01168","Aluminium","pcs","kg",2,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_111","AL PROFILE FOR LIGHTING 50 mm(NA.1)","SP01173","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_112","AL PROFILE FOR LIGHTING 50 mm(MF)","SP01174","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_113","AL PROFILE FOR LIGHTING 50 mm(OW)","SP01175","Aluminium","pcs","kg",3,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_114","AL PROFILE FOR LIGHTING 50 mm(AP)","SP01176","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_115","AL PROFILE FOR DOOR SEAL(NA.1)","SP01181","Aluminium","pcs","kg",3,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_116","AL U CAP 40X100X40 mm(NA.1)","SP01193","Aluminium","pcs","kg",5,,,"โกดังอะลูมิเนียม",,
"product.product_part_117","AL U CAP 40X100X40 mm(MF)","SP01194","Aluminium","pcs","kg",5,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_118","AL U CAP 40X100X40 mm(OW)","SP01195","Aluminium","pcs","kg",5,"01-21",,"โกดังอะลูมิเนียม",,
"product.product_part_119","AL U CAP 40X100X40 mm(AP)","SP01196","Aluminium","pcs","kg",5,"01-21",,"โกดังอะลูมิเนียม",,
"product.product_part_120","AL CEILING BEAM(I)(NA.1)","SP01197","Aluminium","pcs","kg",8,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_121","AL CEILING BEAM(I)(MF)","SP01198","Aluminium","pcs","kg",8,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_122","AL CEILING BEAM(I)(OW)","SP01199","Aluminium","pcs","kg",8,"01-22",,"โกดังอะลูมิเนียม",,
