id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_clean_room_81,"Hanging system (Ceiling beam, bracket, T-Bar)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,m,m,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_82,Spray paint,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,tube,tube,Periodical (manual),0,500,Output VAT 7%,Input VAT
product.product_clean_room_83,Inter Lock 2 CH,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_84,"Silicone ""Sika"" (0.4 Tube/m2)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,tube,tube,Periodical (manual),0,200,Output VAT 7%,Input VAT
product.product_clean_room_85,Lighting,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,0,Output VAT 7%,Input VAT
product.product_clean_room_86,Imbeded Conduit & Back Box,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,200,Output VAT 7%,Input VAT
product.product_clean_room_87,"Other fitting parts (Silicone, bolt, nut & washer)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,300,Output VAT 7%,Input VAT
product.product_clean_room_88,Installation Clean Room with Supervisor (Bangkok and Surroudings area),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,400,Output VAT 7%,Input VAT
product.product_clean_room_89,Installation Clean Room with Supervisor (Upcountry),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,450,Output VAT 7%,Input VAT
product.product_clean_room_90,Installation Clean Room with Supervisor (Oversea),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,0,Output VAT 7%,Input VAT
product.product_clean_room_91,"Opening panel with aluminium frame for Hepa, Lighting",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_92,Hole for Sprinkle Head,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,hole,hole,Periodical (manual),0,80,Output VAT 7%,Input VAT
product.product_clean_room_93,Demolish C/R Panel with fitting parts,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,150,Output VAT 7%,Input VAT
product.product_clean_room_94,Demolish window glass,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,150,Output VAT 7%,Input VAT
product.product_clean_room_95,Demolish Single swing / sliding door,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_96,Demolish Double swing / sliding door,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_97,Temporary wall,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,4000,Output VAT 7%,Input VAT
product.product_clean_room_98,Transportation Clean RoomBangkok and Surroudings,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,lot,lot,Periodical (manual),0,7000,Output VAT 7%,Input VAT
product.product_clean_room_99,Transportation Clean Room Upcountry,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,lot,lot,Periodical (manual),0,0,Output VAT 7%,Input VAT
product.product_clean_room_100,Transportation Clean Room Oversea,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,lot,lot,Periodical (manual),0,0,Output VAT 7%,Input VAT
product.product_clean_room_101,Miscellaneous and Overhead Cost,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,lot,lot,Periodical (manual),0,0,Output VAT 7%,Input VAT
